term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,meaninglanguage1,meaning1,meaninglanguage2,meaning2
드니까,그런데 쪼금 더 나이가 드니까 이제 시차가 어떤 영향을…,,,,,,,en,"enter , go in , walk in",,
등장인물이,그 다음으로 등장인물이 매력적이에요.,,,,,,,en,character,,
드디어,지난주에 저희가 이 채널을 드디어 오픈하고 나서,,,,,,,en,finally,,
오픈하고,…저희가 이 채널을 드디어 오픈하고 나서,,,,,,,en,Open,,
너머로,휴대폰 너머로 들리는 동물의 음성 같은…,,,,,,,en,beyond,,
저희,저희 TalkToMeInKorean. com에서 프리미엄 멤버십…,,,,,,,en,our,,
날에는,쉬는 날에는 늦게 일어나요.,,,,,,,en,"day on, when",,
아점을,쉬는 날에는 아점을 먹어요.,,,,,,,en,"아점 
Brunch It's a combination of breakfast and lunch",,
프리미엄,저희 TalkToMeInKorean. com에서 프리미엄 멤버십 가입해 주세요.,,,,,,,en,premium,,
보관해주시거나,…바로 돌아갈 테니까 좀 보관해주시거나 어디 맡겨 주실 수…,,,,,,,en,can you keep,,
사례는,"사례는 제가 가는 대로 해드릴게요.""",,,,,,,en,the case,,
맡겨,…테니까 좀 보관해주시거나 어디 맡겨 주실 수 있나요?,동사,맡기다,맡기다,동사,,,en,to leave (it),,
고래,오늘은 제가 이렇게 고래 이야기로 시작을 했는데요.,,,,,,,en,whale story,,
부족하면,…네.) 보통 일반적으로는“ 잠이 부족하면 식욕이 증가한다.”,,,,,,,en,lacking,,
나왔으니까,…질문! 이렇게 점심 이야기가 나왔으니까.( 네.) 보통 일반적으로는“ 잠이…,,,,,,,en,it came up,,
해드릴게요,"사례는 제가 가는 대로 해드릴게요.""",,,,,,,en,I will do,,
멤버십,저희 TalkToMeInKorean. com에서 프리미엄 멤버십 가입해 주세요.,,,,,,,en,Membership,,
가입해,…TalkToMeInKorean. com에서 프리미엄 멤버십 가입해 주세요.,,,,,,,en,"가입 加入 (←가입하다) [동사] join, become a member (o",,
일반적으로는,…이야기가 나왔으니까.( 네.) 보통 일반적으로는“ 잠이 부족하면 식욕이 증가한다.”,,,,,,,en,generally,,
증가한다고요,"어, 증가한다고요?",,,,,,,en,is increasing,,
한숨을,그녀는 안도의 한숨을 휴대폰 옆으로 내쉰 뒤…,,,,,,,en,sigh of relief,,
표현까지,"그다음에 주요 어휘, 표현까지 배우실 수 있는 PDF를…",,,,,,,en,Express,,
나눈,"…있고, 저와 경은 선생님이 나눈 모든 대화 내용,",,,,,,,en,"share, split, divide",,
식욕이,…보통 일반적으로는“ 잠이 부족하면 식욕이 증가한다.”,,,,,,,en,appetite,,
어휘,"그다음에 주요 어휘, 표현까지 배우실 수 있는…",,,,,,,en,Vocabulary,,
주요,"그다음에 주요 어휘, 표현까지 배우실 수…",,,,,,,en,"major, main, primary",,
선현우입니다,…To Me In Korean의 선현우입니다.,,,,,,,en,I am Hyun Woo Sun.,,
증가한다,…일반적으로는“ 잠이 부족하면 식욕이 증가한다.”,동사,증가하다,동사,증가하다,,,en,increases,,
그다음에,"그다음에 주요 어휘, 표현까지 배우실…",,,,,,,en,after that,,
컸을,"…거기도 좀 더 아이가 컸을 때 다시 가면,( 어,…",,,,,,,en,Grown,,
속,드라마 속 사람을 등장인물이라고 해요.,,,,,,,en,in,,
방문을,"…가면,( 어, 그렇죠.) 안전하게 방문을 하면 재밌을 거 같네요.",,,,,,,en,Visits,,
골랐을,제가 이 주제를 골랐을 때 왜 이 여행에…,,,,,,,en,I picked,,
먹게,…자면 그날 더 많이 먹게 된다.,,,,,,,en,I eat,,
약간,…남는 것 중에( 네.) 약간 힘들었거나 고생했던 기억들이 좀…,,,,,,,en,"a little, a bit, somewhat, slightly",,
힘들었거나,…것 중에( 네.) 약간 힘들었거나 고생했던 기억들이 좀 있어요.(…,,,,,,,en,Difficult or,,
고생했던,…중에( 네.) 약간 힘들었거나 고생했던 기억들이 좀 있어요.( 맞아요.),,,,,,,en,"Getting in trouble to/ Who suffer/ 고생 [명사] hardship, trouble, suffering , [동사] have trouble[difficulty] (in/with), have a hard[difficult] time, suffer[go through] hardship",,
기억들이,…네.) 약간 힘들었거나 고생했던 기억들이 좀 있어요.( 맞아요.),,,,,,,en,Memories,,
순간에는,…거 같은데( 네.) 그 순간에는( 맞아요.) 겪고 싶지 않죠.,,,,,,,en,At the moment,,
겪고,…네.) 그 순간에는( 맞아요.) 겪고 싶지 않죠.,동사,겪다,동사,겪다,,,en,Undergoing,,
않죠,…순간에는( 맞아요.) 겪고 싶지 않죠.,,,,,,,en,not,,
결론적으로는,맞아요. 네. 결론적으로는 안전했으니까.( 네.),,,,,,,en,in conclusion 結論,,
안전했으니까,맞아요. 네. 결론적으로는 안전했으니까.( 네.),,,,,,,en,Because it was safe,,
다녀왔던,"괜찮았으니까. 네, 오늘은 최근에 다녀왔던 여행지에 대해서 이야기를 해…",,,,,,,en,I went to,,
곳도,아주 예전에 갔던 곳도 이야기를 하게 됐네요.( 네.),,,,,,,en,place,,
하게,…예전에 갔던 곳도 이야기를 하게 됐네요.( 네.),,,,,,,en,do + 게,,
편이어,…피곤하면 좀 식욕이 떨어지는 편이어 가지고.,,,,,,,en,tend to be,,
떨어지는,저는 피곤하면 좀 식욕이 떨어지는 편이어 가지고.,,,,,,,en,decreases,,
리가,똑같을 리가 없는데.,,,,,,,en,couldn't possibly,,
돌아올까요,…시간에 다른 주제로 다시 돌아올까요?,,,,,,,en,Will I come back,,
공통점이,공통점이( 공통점이 없는데.) 있을 수도…,,,,,,,en,common point,,
주제를,제가 이 주제를 골랐을 때 왜 이…,,,,,,,en,"主題 subject, theme",,
여행지에,최근 갔다 온 여행지에 대해서 별로 할 얘기가…,,,,,,,en,On travel,,
최근,최근 갔다 온 여행지에 대해서…,,,,,,,en,"adv. - latest, lately, newly,the most recent",,
주제,네. 그러면 여행이라는 큰 주제 말고( 네.) 최근 여행지에…,,,,,,,en,"main subject, theme",,
말고,…그러면 여행이라는 큰 주제 말고( 네.) 최근 여행지에 대해서…,동사,말다,동사,말다,,,en,not,,
들리는,휴대폰 너머로 들리는 동물의 음성 같은 어눌한…,,,,,,,en,that can be heard,,
별건,별건 아니지만 가진 게 이것뿐이라서.,,,,,,,en,Nothing special.,,
최소,저는‘ 한번 가면 그래도 최소 3 일은 있어야 된다'라는…,,,,,,,en,The minimum,,
문자,문자 보냈을걸요?,,,,,,,en,"Character, letter",,
이유는,그 이유는 저는 지금 고래 도시에…,,,,,,,en,the reason is,,
아니어도,최근 여행지 아니어도( 네.) 기억에 남는 여행지도…,,,,,,,en,Does not have,,
싫었어요,…계속 있는 게 너무 싫었어요,,,,,,,en,hated,,
남는,…여행지 아니어도( 네.) 기억에 남는 여행지도 좋을 거 같아요.,,,,,,,en,"to be left , remain",,
오래돼서,한… 너무 오래돼서 잊어버렸는데...,,,,,,,en,"old , been a long time",,
보냈을걸요,문자 보냈을걸요?,,,,,,,en,I would have sent,,
믿네,그럼 잘 다녀오게. 자네들만 믿네.,,,,,,,en,I believe.,,
유럽을,유럽을 50 일 동안 가는…,,,,,,,en,Europe,,
특별,그리고 저의 특별 코너를 소개합니다.,,,,,,,en,special,,
일상,…팟캐스트 청취자의 일상 이야기‘ 입니다.,,,,,,,en,everyday; daily,,
공유하며,"…여러분과 함께 추천 도서를 공유하며, 책을 읽고 싶어요!",,,,,,,en,Share and,,
코너를,그리고 저의 특별 코너를 소개합니다.,,,,,,,en,Corner,,
소개합니다,그리고 저의 특별 코너를 소개합니다.,동사,소개하다,동사,소개하다,,,en,I am introducing,,
선택하여,한 분을 선택하여 인터뷰를 할 거에요.,,,,,,,en,Select,,
상태였고,"…그때 정말로 항상 피곤한 상태였고, 항상 잠이 부족했기 때문에…",,,,,,,en,state,,
문제,…시간이 없는 것이 가장 문제 였어요,,,,,,,en,[問題] a question; a problem; an issue;,,
청취자의,…팟캐스트 청취자의 일상 이야기‘ 입니다.,,,,,,,en,Listeners of,,
자신의,자신의 일상을 댓글에 소개해주세요!,,,,,,,en,"[自信] one's own, self-confidence;",,
소개해주세요,자신의 일상을 댓글에 소개해주세요!,,,,,,,en,Please introduce,,
부족했기,"…피곤한 상태였고, 항상 잠이 부족했기 때문에…",,,,,,,en,I was lacking,,
고프지도,…뭐... 별로 배가 고프지도 않았고.),,,,,,,en,I wasn't hungry,,
그만두고,…제가 그만두고 싶어요' 말했을 때 주위…,동사,그만두다,동사,그만두다,,,en,quit and,,
친절해지신,"아, 그래서 현우 씨가 친절해지신 거구나. 점점 뭔가... 친절해지고…",,,,,,,en,has become kind,,
마음이,로맨스 드라마는 특히 마음이 설레요.,,,,,,,en,mind/heart,,
설레요,로맨스 드라마는 특히 마음이 설레요.,,,,,,,en,"exciting, thrilling",,
주위,…그만두고 싶어요' 말했을 때 주위 사람들이 다,,,,,,,en,surroundings; around,,
삶에,우리 삶에 대해 생각해 보게돼요.,,,,,,,en,"life, living, existence 에",,
주인공들과,휴먼 드라마는 주인공들과 함께 웃고 울어요.,,,,,,,en,With the protagonists,,
소중해요,우리 삶은 다양하고 소중해요.,,,,,,,en,"所重- precious, valuable, dear (가치를 따질 수 없을 만큼) priceless",,
어휘와,"먼저 어휘에서는 지하철 관련 어휘와 표현을 공부하고,",,,,,,,en,vocabulary,,
자랑,저한테 공항 가면서 전화해서 자랑...,,,,,,,en,"boast, [동사] boast (about/of/that), brag (about/that), show off, be boastful",,
통화도,통화도 했나요?,,,,,,,en,Also calls,,
길게,"…거였는데,( 네.) 그것도 또 길게 50 일 동안 가는…",,,,,,,en,"lengthwise, long, path, domestication",,
도망을,사람들이 가끔 군대에서 도망을 가요.,,,,,,,en,escape,,
시차가,…더 나이가 드니까 이제 시차가 어떤 영향을 줄 수…,,,,,,,en,[時差] time difference,,
자랑하고,"아,( 네.) 진짜 자랑하고 싶었군요.",동사,자랑하다,동사,자랑하다,,,en,"boast, brag",,
놀이공원,"놀이공원, 미술관, 박물관에 들어가려면,",,,,,,,en,amusement park,,
느껴져요,좀 몸이 바뀌는 게 느껴져요.,,,,,,,en,give the feeling,,
인생에서,제 인생에서 처음으로 혼자 여행을 가는…,,,,,,,en,life 에서,,
주제예요,정말 새로운 주제예요!,,,,,,,en,topic,,
영향을,"…드니까 이제 시차가 어떤 영향을 줄 수 있는지( 맞아요,…",,,,,,,en,"affect, effects , influence",,
옛날의,킹덤에서는 아주 옛날의 한국을 볼 수 있어요.,,,,,,,en,old,,
몸으로,"제 몸으로100% 느낄 수 있고, 그리고…",,,,,,,en,with your body,,
런던에,"런던에 뭐... 5 일 있거나,…",,,,,,,en,London,,
잊어버렸는데,한… 너무 오래돼서 잊어버렸는데...,,,,,,,en,I forgot.,,
다가왔어요,새해가 다가왔어요.,동사,다가오다,동사,다가오다,,,en,"to approach, draw near",,
킹덤,그리고 혹시 킹덤 보셨어요?,,,,,,,en,kingdom,,
킹덤에서는,킹덤에서는 아주 옛날의 한국을 볼…,,,,,,,en,in the kingdom,,
미니앨범이에요,…좋아하는 앨범은 두 번째 미니앨범이에요.,,,,,,,en,Mini-albums,,
전이네요,벌써 12 년 전이네요.,,,,,,,en,It's before,,
년의,2010 년의 아파( It Hurts) 도…,,,,,,,en,Years,,
시대에,조선 시대에 좀비가 있었어요!,,,,,,,en,in the Joseon era,,
원하는,제가 원하는 일이 아니었고 재미가 없었어요,,,,,,,en,"want, wish, hope, (formal) desire (간절히) long (for / to do)",,
시대라고,조선 시대라고 해요.,,,,,,,en,the Joseon era,,
좀비가,조선 시대에 좀비가 있었어요!,,,,,,,en,zombies,,
등장인물이라고,드라마 속 사람을 등장인물이라고 해요.,,,,,,,en,character,,
나게,옛날 생각이 많이 나게 해요.,,,,,,,en,grow; sprout; ~ become 게,,
유행하는,여러분의 나라에서 유행하는 취미가 있어요?,,,,,,,en,Popular,,
보게돼요,우리 삶에 대해 생각해 보게돼요.,,,,,,,en,You'll see,,
수도는,한국의 수도는 서울.,,,,,,,en,capital city,,
우는,하지만 자주 우는 사람도 있어요.,,,,,,,en,crying,,
주정도,사실 몇 주정도 밖에 안되었어요.,,,,,,,en,Weeks,,
생각나요,저는 아이 때가 생각나요.,동사,생각나다,동사,생각나다,,,en,"come to mind, occur to (one), (사람이 주어) call[bring] to mind, think of, flash upon (one), dawn upon (one), hit upon, be reminded of, remember",,
등장인물들은,한국 드라마의 등장인물들은 익숙해요.,,,,,,,en,characters,,
전보다,지금은 전보다 쉽고 빨리 만들 수…,,,,,,,en,compared to before,,
에이드를,그리고 에이드를 좋아해서 자몽 에이드하고 청포도…,,,,,,,en,ade,,
자몽,그리고 에이드를 좋아해서 자몽 에이드하고 청포도 에이드도 자주…,,,,,,,en,grapefruit,,
청포도,…에이드를 좋아해서 자몽 에이드하고 청포도 에이드도 자주 마셔요.,,,,,,,en,green grape,,
에이드하고,그리고 에이드를 좋아해서 자몽 에이드하고 청포도 에이드도 자주 마셔요.,,,,,,,en,aid and,,
위치해,울산은 지리적으로 한국의 동남쪽에 위치해 있고요.,,,,,,,en,is located,,
에이드도,…좋아해서 자몽 에이드하고 청포도 에이드도 자주 마셔요.,,,,,,,en,Aid too,,
살이,…설탕이 많아서 많이 마시면 살이 쪄요.,,,,,,,en,living; life,,
설탕이,…요거트 스무디나 다른 음료는 설탕이 많아서 많이 마시면 살이…,,,,,,,en,sugar,,
쪄요,…많아서 많이 마시면 살이 쪄요.,,,,,,,en,gain weight,,
늦게,쉬는 날에는 늦게 일어나요.,,,,,,,en,late,,
프로그래밍,초등학생도 이해하는 프로그래밍 기초,,,,,,,en,programming,,
이해하는,초등학생도 이해하는 프로그래밍 기초,,,,,,,en,To understand,,
기초,초등학생도 이해하는 프로그래밍 기초,,,,,,,en,"basics , foundation , base , basis ,",,
열두,보통 아침 아홉 시부터 열두 시까지 카페에서 일하는데,,,,,,,en,Twelve,,
아홉,보통 아침 아홉 시부터 열두 시까지 카페에서…,,,,,,,en,nine,,
세계적으로,최근 전 세계적으로 급격하게 기술이 발전하면서 프로그래밍에...,,,,,,,en,globally,,
평일하고,여러분은 평일하고 주말에 무엇을 해요?,,,,,,,en,on weekdays,,
시나,보통 10 시나 11 시에 일어나요.,,,,,,,en,o'clock or,,
열한,…시부터 열 시 또는 열한 시까지 쿠키하고 빵을 구워요.,,,,,,,en,Eleven,,
구워요,…열한 시까지 쿠키하고 빵을 구워요.,동사,굽다,동사,굽다,,,en,Bake,,
쿠키하고,…시 또는 열한 시까지 쿠키하고 빵을 구워요.,,,,,,,en,with cookies,,
시까지는,그리고 열한 시부터 한 시까지는 조금 바빠요.,,,,,,,en,time until,,
전기,전기 샐러리 같아?,,,,,,,en,"electricity , power",,
아마,아마 사람들이 점심을 먹어서 커피를…,,,,,,,en,adv.  probably,,
다르죠,…다닐 때랑은 너무 다르더라고요.( 다르죠. 네.),,,,,,,en,Different.,,
최근에는,최근에는 아이스 아메리카노를 정말 많이…,,,,,,,en,"In recent years,",,
샐러리,전기 샐러리 같아?,,,,,,,en,salary,,
재미가,제가 원하는 일이 아니었고 재미가 없었어요,,,,,,,en,Fun +  가,,
달에,한 달에 한 번 항상 같은…,,,,,,,en,month,,
시키셔서,…아이스 아메리카노를 정말 많이 시키셔서,,,,,,,en,by making,,
보거나,…없을 때 보통 유튜브를 보거나 일을 해요.,,,,,,,en,보다 + 거나 ( or),,
불이,불이 붙을 것 같지가 않은데?,,,,,,,en,"fire , light",,
하던데,예전에 어떤 사람은 이렇게 하던데.,,,,,,,en,I heard,,
돈이,저는 돈이 가장 중요하지 않은 것…,,,,,,,en,money,,
도시마다,…한 5 일 있거나 도시마다 한 3 일씩은 꼭…,,,,,,,en,Every city,,
잔을,…아메리카노만 한 번에 열 잔을 만들었어요.,,,,,,,en,Cup,,
손님이,손님이 많아서 바쁘지만 커피 만드는…,,,,,,,en,Guests,,
붙냐고,…해도 막대기에 불이 안 붙냐고!,,,,,,,en,Is it attached,,
봅시다,…하면서 한국어 실력을 향상시켜 봅시다.,동사,보다,보다,동사,,,en,let's try,,
심심해요,…쉴 수 있지만 너무 심심해요.,,,,,,,en,bored,,
멀리까지,"…미국 LA까지,( 네.) 그렇게 멀리까지 갔다 왔는데도( 네.)",,,,,,,en,far + 까지,,
그걸,"그걸 다 잊어버리고, 심지어 미국…",,,,,,,en,it,,
중요하지,저는 돈이 가장 중요하지 않은 것 같아요,,,,,,,en,Not important,,
중요해요,…하고 싶은 일이 가장 중요해요,,,,,,,en,It's important.,,
청소도,청소도 해요.,,,,,,,en,Clean,,
꽂고,…안 갔지만40.2? 온도계를 귀에 꽂고 재면 색깔 바뀌잖아요.,,,,,,,en,"put, stick (in/into) (찌르다) stab",,
나오면,집에 있는데 41 도가 나오면 정말 무섭잖아요.( 네.),동사,나오다,동사,나오다,,,en,"v.  come out, appear",,
입장료'예요,이 돈이‘ 입장료'예요.,,,,,,,en,entrance fee,,
입장료,입장료,,,,,,,en,entrance fee,,
묵었던,…그래서... 처음 갔을 때 묵었던 호텔이 있었고 이번에는 거기는…,,,,,,,en,stayed,,
어휘입니다,먼저 어휘입니다. 따라 읽어 보세요.,,,,,,,en,vocabulary (1),,
다니면서,전에는 몰랐지만 회사에 다니면서 그것을 알았어요,,,,,,,en,"go about , attending",,
장거리,"이미 한 두세 번 장거리 여행을 저희는 같( 이),…",,,,,,,en,Long-distance,,
해변에,해변에 가면 다 비슷한 호텔들이…,,,,,,,en,On the beach,,
놀이공원이나,"놀이공원이나 미술관, 박물관에 들어가려면 돈을…",,,,,,,en,amusement park or,,
잊어버리고,"그걸 다 잊어버리고, 심지어 미국 LA까지,( 네.)…",동사,잊어버리다,동사,잊어버리다,,,en,"forget, put[get] sb[sth] out of one's mind[head]",,
놀다가,"시내에 있었는데, 바닷가에서 놀다가, 튜브 있잖아요.( 네.)",,,,,,,en,By playing,,
자가용을,그는 자가용을 타고 출근해요.,,,,,,,en,Car,,
불어야,그 튜브를 큰 거를 불어야 되는데 제가 직접 입으로…,,,,,,,en,Blow,,
부니까,…되는데 제가 직접 입으로 부니까 거의 뭐... 기절할 거…,,,,,,,en,"blow on,  blow, .confess, breathe out, .play",,
기절할,…입으로 부니까 거의 뭐... 기절할 거 같아요.( 그렇죠.),,,,,,,en,Faint,,
묵었을,…년 전에 그 호텔에 묵었을 때 그 호텔 야외…,,,,,,,en,Stayed,,
야외,…묵었을 때 그 호텔 야외 수영장에 그 기계가 있었던…,,,,,,,en,"outside, the outdoors",,
써도,그래서 가서 이거 써도 되느냐고 말하고 썼어요.,,,,,,,en,even if use/write,,
기계가,…호텔 야외 수영장에 그 기계가 있었던 거 같아요.,,,,,,,en,The machine,,
굳이,…때문에“ 아이가 어릴 때는 굳이 여행을 많이 다닐 필요…,,,,,,,en,"positively, absolutely",,
잊어버려도,"그렇죠. 잊어버려도, 그래도 부모한테는 추억이 남아…",,,,,,,en,Even if I forget,,
부모한테는,"그렇죠. 잊어버려도, 그래도 부모한테는 추억이 남아 있고( 음,…",,,,,,,en,For parents,,
어렴풋이,"네, 그냥 어렴풋이.",,,,,,,en,"dimly, vaguely, indistinctly",,
되느냐고,그래서 가서 이거 써도 되느냐고 말하고 썼어요.,,,,,,,en,might be,,
반부터,보통 1 시 반부터 한국어 수업이 있어요.,,,,,,,en,From half,,
긴장되지만,…수업을 할 때는 조금 긴장되지만 재미있어요.,,,,,,,en,I'm nervous.,,
바람,"…여기 왔었는데 오늘은 튜브에 바람 넣으러 왔구나, 몇 년…",동사,바라다,동사,바라다,,,en,wind,,
낮잠을,수업이 없으면 낮잠을 잘 수도 있어요.,,,,,,,en,nap; siesta,,
넣으러,"…왔었는데 오늘은 튜브에 바람 넣으러 왔구나, 몇 년 만에'…",,,,,,,en,To put,,
기분이구나'라는,…여행지를 가는 게 이런 기분이구나'라는 걸 그때 처음 안…,,,,,,,en,It feels like,,
때문은,저도 그런 기분 때문은 아니지만 저는 예전에도 똑같은…,,,,,,,en,Is because,,
예전에도,"…기분 때문은 아니지만 저는 예전에도 똑같은 데를 세 번,…",,,,,,,en,In the past,,
데를,"…아니지만 저는 예전에도 똑같은 데를 세 번, 네 번까지…",,,,,,,en,"place, point, spot",,
번까지,"…데를 세 번, 네 번까지 가 본 적이 있어요.",,,,,,,en,number/times [번까지  웹수집 — by the number],,
걸려서,…카페까지 20 분 정도 걸려서 자전거를 타고 가요.,,,,,,,en,"adj.  hanging; catch (disease, illness, etc)",,
변해,"신기한데, 뭔가 변해 있을 거 같잖아요?( 네.)",동사,변하다,동사,변하다,,,en,change 변하다,,
변하지만,근데 똑같은 거예요. 도시가 변하지만 그래도 똑같은 식당들은 그래도…,,,,,,,en,It's changed,,
팬션,과감한 팬션 금지,,,,,,,en,Pensions,,
확인하고,수업 전에 학생들의 숙제를 확인하고,동사,확인하다,동사,확인하다,,,en,To check,,
숙제를,수업 전에 학생들의 숙제를 확인하고,,,,,,,en,homework,,
정리하고,…다 끝나면 책상하고 방을 정리하고 잠시 쉬어요.,동사,정리하다,동사,정리하다,,,en,Organize,,
문법하고,수업을 하고 끝난 후에 문법하고 단어를 보내요.,,,,,,,en,grammar,,
식당들은,…도시가 변하지만 그래도 똑같은 식당들은 그래도 있으니까. 그게 너무...,,,,,,,en,restaurants,,
오시는,…물론 외국에서 서울로 여행 오시는 분들이( 네.) 보시면은 너무…,,,,,,,en,"come (나타나다) turn up, show up (방문하다) visit",,
보시면은,…여행 오시는 분들이( 네.) 보시면은 너무 많이 변한다고 생각하겠죠.,,,,,,,en,If you see,,
변한다고,…네.) 보시면은 너무 많이 변한다고 생각하겠죠.,,,,,,,en,That changes,,
맞는가에,이 길이 맞는가에 대한 불안감이 진짜 가장…,,,,,,,en,Fit,,
신기하게,그리고 신기하게 정말 휴가 때마다 오신다는…,,,,,,,en,"adj.  amazing,",,
많더라고요,"…때마다 오신다는 분들도 꽤 많더라고요.( 네, 네.)",,,,,,,en,'many' i recall,,
오신다는,"…신기하게 정말 휴가 때마다 오신다는 분들도 꽤 많더라고요.( 네,…",,,,,,,en,Coming,,
답장을,그리고 다른 학생들의 질문에 답장을 보내요.,,,,,,,en,"reply, answer",,
분들도,"…정말 휴가 때마다 오신다는 분들도 꽤 많더라고요.( 네, 네.)",,,,,,,en,Even those who,,
그분들,저는 그분들 보면서 너무 신기하다 생각했었거든요.,,,,,,,en,those people,,
신기하다 생각했었거든요,저는 그분들 보면서 너무 신기하다 생각했었거든요.,,,,,,,en,I thought that was interesting.,,
이때,이때 텔레비전을 보거나 핸드폰을 해요.,,,,,,,en,"Until, and then",,
잠시,…끝나면 책상하고 방을 정리하고 잠시 쉬어요.,,,,,,,en,"moment , briefly",,
가이드북을,…사실 한국이 그래서 책으로 가이드북을 내기가( 네.) 좀 어려운…,,,,,,,en,Guidebook,,
바뀌니깐,자꾸 바뀌니깐.( 맞아요.) 그래서 요즘에는 그냥…,,,,,,,en,Because it changes,,
내기가,…한국이 그래서 책으로 가이드북을 내기가( 네.) 좀 어려운 거…,,,,,,,en,"to bring about, pull forth, produce, pay, submit, offer   (내다)",,
도까지,…도? 둘째는 좀... 41 도까지 올라간 적도 있었고 열이…,,,,,,,en,Degrees,,
올라간,…둘째는 좀... 41 도까지 올라간 적도 있었고 열이 잘…,,,,,,,en,"ascend, go up",,
적도,…좀... 41 도까지 올라간 적도 있었고 열이 잘 나는…,,,,,,,en,[適度]proper degree,,
도가,집에 있는데 41 도가 나오면 정말 무섭잖아요.( 네.),,,,,,,en,Taoist,,
이번엔,네. 이번엔 41 도까지는 안 갔지만40.2?…,,,,,,,en,this time,,
도까지는,네. 이번엔 41 도까지는 안 갔지만40.2? 온도계를 귀에…,,,,,,,en,Up to,,
반이나,…끝나면 보통 10 시 반이나 11 시예요.,,,,,,,en,Half or,,
온도계를,…41 도까지는 안 갔지만40.2? 온도계를 귀에 꽂고 재면 색깔…,,,,,,,en,Thermometer,,
귀에,…도까지는 안 갔지만40.2? 온도계를 귀에 꽂고 재면 색깔 바뀌잖아요.,,,,,,,en,Ear,,
재면,…갔지만40.2? 온도계를 귀에 꽂고 재면 색깔 바뀌잖아요.,,,,,,,en,"take, measure, gauge;",,
색깔,…온도계를 귀에 꽂고 재면 색깔 바뀌잖아요.,,,,,,,en,Color,,
바뀌잖아요,…귀에 꽂고 재면 색깔 바뀌잖아요.,,,,,,,en,changed as you know,,
추억이,"그렇죠. 잊어버려도, 그래도 부모한테는 추억이 남아 있고( 음, 맞아요.…",,,,,,,en,Memories,,
남아,"…잊어버려도, 그래도 부모한테는 추억이 남아 있고( 음, 맞아요. 맞아요.)",동사,남다,동사,남다,,,en,"남다 v. remain, stay",,
분명히,분명히 뭔가... 기억은 못 해도…,,,,,,,en,"quite, evidently, clearly, obviously, apparently; without a doubt",,
영상하고,재미있는 영상하고 드라마를 봐요.,,,,,,,en,doing a video,,
나오고,"빨간색, 빨간색 계속 나오고 좀 내려갔다, 해열제 먹여서…",동사,나오다,동사,나오다,,,en,"come out, emerge and",,
